id,name,neighbourhood_cleansed,latitude,longitude,room_type,minimum_maximum_nights,license,Illegal,,,
63247,Lovely open plan en-suite bed/bath,Mission,37.74926,-122.41398,Entire home/apt,29,STR-0000315,legal,,,
66119,Large garden studio  apt. near Golden Gate Park,Inner Richmond,37.77798,-122.47812,Entire home/apt,360,CITY REGISTRATION PENDING,illegal,,,
66188,Spectacular Sutro Heights,Outer Richmond,37.77719,-122.50906,Entire home/apt,1125,,illegal,,,
66664,lovely 1 BEDROOM: GG Park/UCSF,Inner Sunset,37.7571,-122.46594,Entire home/apt,120,,illegal,,,
68239,Beautiful 1bdr apt by Dolores Park in Mission,Mission,37.75426,-122.42387,Entire home/apt,1125,,illegal,,,
69410,Private 1BR Inner Richmond Apt,Inner Richmond,37.77442,-122.46319,Entire home/apt,365,,illegal,,,
69681,Panorama Pacific View - Pet Friendly,Seacliff,37.77707,-122.50923,Entire home/apt,365,,illegal,,,
70139,Noe Valley Eco-Escape +Maid Service,Bernal Heights,37.74527,-122.42424,Entire home/apt,180,,illegal,,,
71779,ｽﾀｼﾞｵｱﾊﾟｰﾄ,Inner Richmond,37.77625,-122.46466,Entire home/apt,365,,illegal,,,
72365,Cozy loft in the center of SF. F1A,Western Addition,37.77489,-122.4322,Entire home/apt,365,,illegal,,,
72921,Wonderful private 1 bedroom apt. F6,Western Addition,37.77487,-122.43221,Entire home/apt,365,,illegal,,,
74451,Views of SF from a nice studio F5,Western Addition,37.77497,-122.4323,Entire home/apt,365,,illegal,,,
77175,Private Studio w/ Kitchenette &Bath,Glen Park,37.73838,-122.43375,Entire home/apt,31,STR-0000227,legal,,,
80394,Hideaway in the Haight,Haight Ashbury,37.77065,-122.44252,Entire home/apt,90,STR-0003597,illegal,,,
81158,Sweet 1 br Garden Apartment -  Lewhit Cottage,Western Addition,37.78493,-122.44618,Entire home/apt,330,,illegal,,,
83553,Sutro Garden View,Outer Richmond,37.77483,-122.50952,Entire home/apt,290,,illegal,,,
84777,Upper Castro Studio,Castro/Upper Market,37.7586,-122.44519,Entire home/apt,30,STR-0000033,legal,,,
91957,Sunny SF Flat with 5*s,Haight Ashbury,37.76194,-122.44929,Entire home/apt,730,CITY REGISTRATION PENDING,illegal,,,
99094,Spacious Edwardian Flat SF Mission,Mission,37.76809,-122.42439,Entire home/apt,18,STR-0002435,legal,,,
